accept_type,venue,year,paper_id,pdf_url,paper_title,first_author
poster,ICLR,2024,fjpfCOV4ru,https://openreview.net/pdf/6096e5c08f636d6144a7e20b80523e0168fe0a4a.pdf,"Ito Diffusion Approximation of Universal Ito Chains for Sampling, Optimization and Boosting",Aleksei Ustimenko
poster,NEURIPS,2024,QVG7j29Sta,https://openreview.net/pdf/7ecf82af167db2fa1a4c2972d42f903ce9507ee9.pdf,Accuracy is Not All You Need,Abhinav Dutta
poster,ICML,2024,RfQT6vJt8b,https://openreview.net/pdf/409965515edccbc49d377b009df2f47a57479ebd.pdf,How Far Can Fairness Constraints Help Recover From Biased Data?,mohit sharma
poster,ICML,2024,OQ7TlOphGX,https://openreview.net/pdf/6f5199a867ae97c4ee3f4303b1afe90f767d9d65.pdf,Enhancing Trajectory Prediction through Self-Supervised Waypoint Distortion Prediction,Pravendra Singh
poster,ICML,2024,HpT19AKddu,https://openreview.net/pdf/23331b236f09db1c4293895ed7d92c5d7c76991f.pdf,Causal Discovery with Fewer Conditional Independence Tests,Kirankumar Shiragur
poster,ICLR,2025,52UtL8uA35,https://openreview.net/pdf/5ddcb1a74b2e9e4e8ed76a05e032a40ee172bf40.pdf,Deep Networks Learn Features From Local Discontinuities in the Label Function,Prithaj Banerjee
poster,ICLR,2025,5RZoYIT3u6,https://openreview.net/pdf/a4ec37f08d2849b2cd4d8f203d00b3bf1aa3f16a.pdf,You Only Prune Once: Designing Calibration-Free Model Compression With Policy Learning,Ayan Sengupta
poster,ICLR,2025,5pd78GmXC6,https://openreview.net/pdf/53d17f44d595659cf050490be6c4b87018988e38.pdf,Charting the Design Space of Neural Graph Representations for Subgraph Matching,Vaibhav Raj
poster,ICLR,2025,5x88lQ2MsH,https://openreview.net/pdf/cda993376dcff91230258e560227e99852269d47.pdf,Bonsai: Gradient-free Graph Condensation for Node Classification,Mridul Gupta
poster,ICLR,2025,AkBrb7yQ0G,https://openreview.net/pdf/8ad46240b718392d7de78aefb2230245544e7a1f.pdf,Periodic Materials Generation using Text-Guided Joint Diffusion Model,KISHALAY DAS
poster,ICLR,2025,DFSb67ksVr,https://openreview.net/pdf/c827a3961d4fc71d35f295fe47af1a56513b177c.pdf,Clique Number Estimation via Differentiable Functions of Adjacency Matrix Permutations,Indradyumna Roy
poster,ICLR,2025,EzrZX9bd4G,https://openreview.net/pdf/debbb712eb9e26bf61695ebf77801a55131c9e21.pdf,BEEM: Boosting Performance of Early Exit DNNs using Multi-Exit Classifiers as Experts,Divya Jyoti Bajpai
poster,ICLR,2025,LO4MEPoqrG,https://openreview.net/pdf/f432171f3c6052c0ec517871292566b7399bd96f.pdf,Does Safety Training of LLMs Generalize to Semantically Related Natural Prompts?,Sravanti Addepalli
poster,ICLR,2025,NHxwxc3ql6,https://openreview.net/pdf/799ba059f2d6b50ca4668376ba1cdd8d72138627.pdf,It Helps to Take a Second Opinion: Teaching Smaller LLMs To Deliberate Mutually via Selective Rationale Optimisation,Sohan Patnaik
poster,ICLR,2025,NfCEVihkdC,https://openreview.net/pdf/ac884658f87199ebcb457a610bf628ecf481891f.pdf,Measuring And Improving Persuasiveness Of Large Language Models,Somesh Kumar Singh
poster,ICLR,2025,NtwFghsJne,https://openreview.net/pdf/c6c8ec06c7f9ef53d5ac4216c2471b1d20415fd0.pdf,From Search to Sampling: Generative Models for Robust Algorithmic Recourse,Prateek Garg
poster,ICLR,2025,TmCcNuo03f,https://openreview.net/pdf/8a918fd68fecd9209403ab6e44f832e47c2e540b.pdf,Measuring And Improving Engagement of Text-to-Image Generation Models,Varun Khurana
poster,ICLR,2025,ff2V3UR9sC,https://openreview.net/pdf/c838bbe0a12f56b1fde9d76191b41894a12cd638.pdf,Teaching Human Behavior Improves Content Understanding Abilities Of VLMs,Somesh Kumar Singh
poster,ICLR,2024,uvFhCUPjtI,https://openreview.net/pdf/5386623c7dfc54fe602556b341b906eb0ec58d06.pdf,Beyond Spatio-Temporal Representations: Evolving Fourier Transform for Temporal Graphs,Anson Bastos
poster,ICLR,2025,h0vC0fm1q7,https://openreview.net/pdf/0baccd0626487637d58895c5bf4daa1f701f0d6f.pdf,Sensitivity Verification for Additive Decision Tree Ensembles,Arhaan Ahmad
poster,ICLR,2025,kbeX97jExm,https://openreview.net/pdf/8ed140ad99d8ff52315acf85732ba20a69b155a7.pdf,Neural Wave Equation for Irregularly Sampled Sequence Data,Arkaprava Majumdar
poster,ICLR,2025,l11DZY5Nxu,https://openreview.net/pdf/704fab6788807803612ad2b12344cc35a2a74913.pdf,Robust Root Cause Diagnosis using In-Distribution Interventions,Lokesh Nagalapatti
poster,ICLR,2025,nNiWRRj6r9,https://openreview.net/pdf/696d482ba820dd1fb2c61d652aea1b70e1287ef9.pdf,ONLINE EPSILON NET & PIERCING SET FOR GEOMETRIC CONCEPTS,Sujoy Bhore
poster,ICLR,2025,qnlG3zPQUy,https://openreview.net/pdf/b4b0f39d84d66fbd58c0ce677e7f47db34c37ab8.pdf,"ILLUSION: Unveiling Truth with a Comprehensive Multi-Modal, Multi-Lingual Deepfake Dataset",Kartik Thakral
poster,ICLR,2025,rnJxelIZrq,https://openreview.net/pdf/cedd874528d6099323a83a93e025814f28b8e16e.pdf,Beyond Mere Token Analysis: A Hypergraph Metric Space Framework for Defending Against Socially Engineered LLM Attacks,
poster,ICLR,2025,tDIL7UXmSS,https://openreview.net/pdf/200469483697d3ac66abe0d44a5efe9482fa9101.pdf,Quantum (Inspired)  $D^2$-sampling with Applications,Poojan Chetan Shah
poster,ICLR,2025,wSkvf2WyYz,https://openreview.net/pdf/df1273af2e4a905f17436545415573e192eb813f.pdf,SBSC: Step-by-Step Coding for Improving Mathematical Olympiad Performance,Kunal Singh
poster,ICLR,2025,zvaiz3FjA9,https://openreview.net/pdf/8eb49e491feecae804537675c711f98f57149f2f.pdf,Designing Concise ConvNets with Columnar Stages,Ashish Kumar
poster,ICML,2024,7xzhKEPfBo,https://openreview.net/pdf/61c68b6da42e9185837b464227ecbcbc75504505.pdf,Risk Estimation in a Markov Cost Process: Lower and Upper Bounds,
poster,ICML,2024,8ySQaphUYH,https://openreview.net/pdf/07f74f6818e7261951b0dfd09d5666e670e5e9d0.pdf,WISER: Weak Supervision and Supervised Representation Learning to Improve Drug Response Prediction in Cancer,Kumar Shubham
poster,ICML,2024,Ao9UUaScAU,https://openreview.net/pdf/71efc1da1d0fe38f66103886bdf9d41d7a430479.pdf,Why do Variational Autoencoders Really Promote Disentanglement?,Pratik Bhowal
poster,ICML,2024,Cbacx90Wkt,https://openreview.net/pdf/c0530913b6c22d453b2332a2be5cbf1c57e67ff0.pdf,OAK: Enriching Document Representations using Auxiliary Knowledge for Extreme Classification,Shikhar Mohan
poster,ICML,2024,GwA4go0Mw4,https://openreview.net/pdf/b913a137f582939ceef4f0e95b210de1e8e9e8cc.pdf,Representation Surgery: Theory and Practice of Affine Steering,Shashwat Singh
poster,ICLR,2025,jCDF7G3LpF,https://openreview.net/pdf/bc16e7d0bc5f4d8c4b1a1d6e943556544f77ff36.pdf,EFFICIENT JAILBREAK ATTACK SEQUENCES ON LARGE LANGUAGE MODELS VIA MULTI-ARMED BANDIT-BASED CONTEXT SWITCHING,Aditya Ramesh
poster,ICLR,2024,uz7d2N2zul,https://openreview.net/pdf/cd650d7bda1c2da0c78084f2b993c15c2ec0925f.pdf,Bayesian Coreset Optimization for Personalized Federated Learning,Prateek Chanda
